GEOID,AWATER,STATEFP,COUNTYFP,FUNCSTAT,INTPTLAT,NAME,NAMELSAD,INTPTLON,TRACTCE,MTFCC,ALAND,system:index
02050000300,622683516,02,050,S,+61.4688040,3,Census Tract 3,-156.6922064,000300,G5020,49367571113,00000000000000001d0f
02185000300,2170749328,02,185,S,+70.0173600,3,Census Tract 3,-149.8297409,000300,G5020,8213027274,00000000000000001d28
02170000300,1701498,02,170,S,+61.7170490,3,Census Tract 3,-149.1964195,000300,G5020,387743450,00000000000000001d36
02150000300,233756,02,150,S,+57.7955495,3,Census Tract 3,-152.4941202,000300,G5020,24312710,00000000000000001d3a
02240000400,374184919,02,240,S,+63.9300864,4,Census Tract 4,-145.4334366,000400,G5020,17426942443,00000000000000001cce
02090000400,103380,02,090,S,+64.8459890,4,Census Tract 4,-147.6832084,000400,G5020,2618838,00000000000000001cd6
02122000400,446081196,02,122,S,+60.2717972,4,Census Tract 4,-150.6052053,000400,G5020,5013666288,00000000000000001ce7
02105000400,7804886156,02,105,S,+58.0735321,4,Census Tract 4,-135.5130030,000400,G5020,16978039504,00000000000000001cf3
02110000400,7249823,02,110,S,+58.3871584,4,Census Tract 4,-134.4578423,000400,G5020,142561382,00000000000000001cf8
02290000400,1279246479,02,290,S,+62.8600955,4,Census Tract 4,-157.0581667,000400,G5020,81816827492,00000000000000001d01
02150000400,4988800,02,150,S,+57.7797541,4,Census Tract 4,-152.4039786,000400,G5020,2189393,00000000000000001d39
02130000400,843553,02,130,S,+55.3200060,4,Census Tract 4,-131.5487809,000400,G5020,19297494,00000000000000001d55
02090000500,257076,02,090,S,+64.8519694,5,Census Tract 5,-147.7273796,000500,G5020,4028764,00000000000000001cda
02122000500,3602667,02,122,S,+60.5244130,5,Census Tract 5,-151.0212327,000500,G5020,62625014,00000000000000001ce8
02110000500,525894243,02,110,S,+58.2840009,5,Census Tract 5,-133.7864644,000500,G5020,4947571855,00000000000000001cfc
02150000500,19989485,02,150,S,+57.7679505,5,Census Tract 5,-152.5959068,000500,G5020,60102526,00000000000000001d3b
02020000500,9951791,02,020,S,+61.2233197,5,Census Tract 5,-149.9011517,000500,G5020,2705623,00000000000000001d54
02090000600,281084,02,090,S,+64.8536905,6,Census Tract 6,-147.7788363,000600,G5020,4695876,00000000000000001cdb
02122000600,139952000,02,122,S,+60.5774591,6,Census Tract 6,-151.3187515,000600,G5020,75472419,00000000000000001ce9
02110000600,231377168,02,110,S,+58.2342534,6,Census Tract 6,-134.3825691,000600,G5020,461197059,00000000000000001cf9
02090000700,172964,02,090,S,+64.8327996,7,Census Tract 7,-147.7996015,000700,G5020,5254671,00000000000000001cd7
02090000800,281203,02,090,S,+64.8421905,8,Census Tract 8,-147.8519070,000800,G5020,4055752,00000000000000001ce1
02122000800,1396681698,02,122,S,+59.9272323,8,Census Tract 8,-151.6926937,000800,G5020,1502408778,00000000000000001ce2
02170000800,284235,02,170,S,+61.5875794,8,Census Tract 8,-149.4760260,000800,G5020,11765212,00000000000000001d08
02090000900,15867084,02,090,S,+64.7908784,9,Census Tract 9,-147.9946406,000900,G5020,67174742,00000000000000001cdf
02122000900,13764531,02,122,S,+59.7082807,9,Census Tract 9,-151.5452047,000900,G5020,120476047,00000000000000001ce4
02170000900,1530110,02,170,S,+61.5674597,9,Census Tract 9,-149.4672686,000900,G5020,18541119,00000000000000001d37
02020001000,0,02,020,S,+61.2102868,10,Census Tract 10,-149.8759839,001000,G5020,1749931,00000000000000001cc2
02122001000,63309054,02,122,S,+59.6204430,10,Census Tract 10,-151.4572638,001000,G5020,25118798,00000000000000001cd0
02090001000,14288852,02,090,S,+64.8042687,10,Census Tract 10,-147.8115419,001000,G5020,36684984,00000000000000001ce0
02020001100,0,02,020,S,+61.2177089,11,Census Tract 11,-149.8912614,001100,G5020,1196917,00000000000000001cc7
02122001100,76418255,02,122,S,+59.8045397,11,Census Tract 11,-151.1131396,001100,G5020,521186046,00000000000000001ce5
02170001100,1743757,02,170,S,+61.5668568,11,Census Tract 11,-149.2226826,001100,G5020,65057033,00000000000000001d06
